YEAR_MONTH,SIDO,TARGET_COUNT,RESTAURANT_DENSITY,VIOLATION_RATE,CPI_TOTAL,THI,RATE_SCORE,RATE_TREND,TREND_SCORE,CPI_PRESSURE_SCORE,HOTSPOT_REPEAT_COUNT_3M,HOTSPOT_REPEAT_SCORE,CLIMATE_CAUTION_FLAG,FSIPI,FSIPI_GRADE,TARGET
2024-06,경상남도,5.0,67454,0.0741245886085332,113.84,70.40797645934353,57.033248081841435,-0.14982305896735923,50.89514066496164,2.3017902813299234,0.0,0.0,1,41.89258312020461,3등급·관찰,0
2024-09,인천광역시,2.0,41726,0.0479317451948425,114.65,74.58121856449478,43.8618925831202,0.3808232637315349,70.33248081841433,24.04092071611253,0.0,0.0,1,41.79667519181586,3등급·관찰,0
2025-07,광주광역시,1.0,22065,0.0453206435531384,116.52,77.75407159005208,40.92071611253197,-0.8805702181368114,11.508951406649617,67.51918158567774,2.0,66.66666666666666,1,41.60272804774084,3등급·관찰,0
2025-04,인천광역시,2.0,41726,0.0479317451948425,116.38,56.031464941879086,43.8618925831202,-0.6587683478748605,26.342710997442452,58.82352941176471,1.0,33.33333333333333,0,41.549445865302644,3등급·관찰,0
2025-05,경상북도,3.0,54980,0.0545652964714441,116.27,61.52183005617762,48.46547314578005,-0.360373346787272,39.38618925831202,45.78005115089514,0.0,0.0,0,41.40025575447571,3등급·관찰,0
2024-05,전북특별자치도,2.0,31373,0.0637490836069231,114.1,62.72419013774592,51.790281329923275,0.0,59.46291560102301,6.649616368286446,0.0,0.0,0,41.374680306905375,3등급·관찰,0
2024-08,경상남도,4.0,67454,0.0592996708868265,114.54,79.53516619543673,50.0,-0.17622573812150458,50.38363171355499,19.69309462915601,0.0,0.0,1,40.530690537084396,3등급·관찰,0
2024-07,충청남도,2.0,42097,0.047509323704777,114.13,77.3364558671032,42.710997442455245,0.7037446251504251,76.47058823529412,10.997442455242968,0.0,0.0,1,40.434782608695656,3등급·관찰,0
2024-07,강원특별자치도,3.0,43926,0.068296680781314,114.13,77.3364558671032,52.685421994884905,-0.5668034552338632,31.45780051150895,10.997442455242968,1.0,33.33333333333333,1,40.251491901108274,3등급·관찰,0
2024-05,서울특별시,8.0,138619,0.0577121462425785,114.1,62.72419013774592,49.232736572890026,0.0,59.46291560102301,6.649616368286446,0.0,0.0,0,39.96803069053709,4등급·일반,0
2025-08,대구광역시,2.0,37976,0.0526648409521803,116.45,78.49616926828206,46.29156010230179,-0.6775288085249385,25.063938618925828,63.171355498721226,0.0,0.0,1,39.948849104859335,4등급·일반,0
2026-03,충청북도,1.0,31440,0.0318066157760814,118.8,48.01873224613504,32.73657289002558,-0.50357538523517,35.0383631713555,97.9539641943734,0.0,0.0,0,39.70588235294118,4등급·일반,0
2024-10,경기도,11.0,183285,0.0600158223531658,114.69,61.13916856106862,50.89514066496164,-0.7491927448174592,20.460358056265985,28.388746803069054,1.0,33.33333333333333,0,39.676044330775795,4등급·일반,0
2026-01,전북특별자치도,1.0,31373,0.0318745418034615,118.03,37.281032920297086,34.52685421994885,-0.8117972283332516,17.135549872122763,89.25831202046037,1.0,33.33333333333333,0,39.138959931798816,4등급·일반,0
2025-04,전라남도,1.0,37127,0.0269345759151022,116.38,56.031464941879086,29.795396419437342,0.3211499738262776,69.0537084398977,58.82352941176471,0.0,0.0,0,39.02173913043478,4등급·일반,0
2024-11,경기도,13.0,183285,0.0709277900537414,114.4,51.50983011087168,53.32480818414322,-0.4733809041693617,36.57289002557545,15.34526854219949,0.0,0.0,0,38.94501278772378,4등급·일반,0
2025-09,제주특별자치도,1.0,24251,0.0412354129726609,117.06,72.26859651924399,37.59590792838875,-0.44592889217885334,37.34015345268542,71.86700767263427,0.0,0.0,1,38.92583120204604,4등급·일반,0
2025-02,광주광역시,1.0,22065,0.0453206435531384,116.08,38.141470081779424,40.92071611253197,-0.5220603110174306,34.14322250639386,41.432225063938624,1.0,33.33333333333333,0,38.88320545609549,4등급·일반,0
2024-07,경상남도,4.0,67454,0.0592996708868265,114.13,77.3364558671032,50.0,-0.24293307679600476,46.29156010230179,10.997442455242968,0.0,0.0,1,38.407928388746804,4등급·일반,0
2024-12,전라남도,2.0,37127,0.0538691518302044,114.91,40.892561338146805,47.31457800511509,-0.4575329366522774,37.084398976982094,32.73657289002558,0.0,0.0,0,38.350383631713555,4등급·일반,0
2025-01,광주광역시,1.0,22065,0.0453206435531384,115.71,37.60077504162818,40.92071611253197,-0.5220603110174306,34.14322250639386,37.084398976982094,1.0,33.33333333333333,0,38.23103154305201,4등급·일반,0
2025-08,제주특별자치도,1.0,24251,0.0412354129726609,116.45,78.49616926828206,37.59590792838875,-0.3491906633400438,40.153452685421996,63.171355498721226,0.0,0.0,1,38.18414322250639,4등급·일반,0
2025-06,충청북도,1.0,31440,0.0318066157760814,116.31,70.97058460731459,32.73657289002558,0.0,59.46291560102301,54.47570332480819,0.0,0.0,0,38.0690537084399,4등급·일반,0
2025-09,경상북도,2.0,54980,0.0363768643142961,117.06,72.26859651924399,36.44501278772378,-0.4778352697038784,36.0613810741688,71.86700767263427,0.0,0.0,1,38.03708439897699,4등급·일반,0
2025-07,충청북도,1.0,31440,0.0318066157760814,116.52,77.75407159005208,32.73657289002558,-0.2022981064897232,48.59335038363171,67.51918158567774,0.0,0.0,1,37.851662404092075,4등급·일반,0
2024-05,울산광역시,1.0,19964,0.0500901622921258,114.1,62.72419013774592,45.26854219948849,0.0,59.46291560102301,6.649616368286446,0.0,0.0,0,37.78772378516624,4등급·일반,0
2024-08,부산광역시,3.0,55922,0.0536461499946353,114.54,79.53516619543673,46.80306905370844,-0.2725230043481048,45.26854219948849,19.69309462915601,0.0,0.0,1,37.749360613810744,4등급·일반,0
2026-02,충청북도,1.0,31440,0.0318066157760814,118.4,42.12641637472754,32.73657289002558,-0.6034274680183443,28.13299232736573,93.60613810741688,0.0,0.0,0,37.67263427109975,4등급·일반,0
2025-10,충청북도,1.0,31440,0.0318066157760814,117.42,62.1988525681886,32.73657289002558,-0.7361207773435409,21.22762148337596,80.56265984654732,1.0,33.33333333333333,1,37.6683716965047,4등급·일반,0
2025-04,충청남도,2.0,42097,0.047509323704777,116.38,56.031464941879086,42.710997442455245,-0.8920220668418896,9.718670076726342,58.82352941176471,1.0,33.33333333333333,0,37.591645353793695,4등급·일반,0
2024-07,경상북도,3.0,54980,0.0545652964714441,114.13,77.3364558671032,48.46547314578005,-0.5848090013801496,29.66751918158568,10.997442455242968,1.0,33.33333333333333,1,37.572463768115945,4등급·일반,0
2025-09,부산광역시,2.0,55922,0.0357640999964235,117.06,72.26859651924399,35.54987212276215,-0.7785992480461488,18.67007672634271,71.86700767263427,1.0,33.33333333333333,1,37.399829497016206,4등급·일반,0
2025-09,전북특별자치도,1.0,31373,0.0318745418034615,117.06,72.26859651924399,34.52685421994885,-0.9459675664737579,3.580562659846547,71.86700767263427,2.0,66.66666666666666,1,37.152600170502986,4등급·일반,0
2025-03,전라남도,1.0,37127,0.0269345759151022,116.29,48.30477583011704,29.795396419437342,2.8180480208532657e-16,63.9386189258312,50.127877237851656,0.0,0.0,0,36.69437340153453,4등급·일반,0
2024-08,대구광역시,2.0,37976,0.0526648409521803,114.54,79.53516619543673,46.29156010230179,-0.35908963595492716,39.64194373401534,19.69309462915601,0.0,0.0,1,36.34271099744245,4등급·일반,0
2025-05,인천광역시,2.0,41726,0.0479317451948425,116.27,61.52183005617762,43.8618925831202,-0.6741033751007786,25.831202046035806,45.78005115089514,0.0,0.0,0,36.15728900255755,4등급·일반,0
2025-12,경상북도,1.0,54980,0.018188432157148,117.57,41.42148908059404,22.122762148337596,-1.1077247004553419e-15,54.47570332480819,84.91048593350384,0.0,0.0,0,35.79923273657289,4등급·일반,0
2024-08,울산광역시,1.0,19964,0.0500901622921258,114.54,79.53516619543673,45.26854219948849,-0.7143469440237734,22.762148337595907,19.69309462915601,1.0,33.33333333333333,1,35.73742540494459,4등급·일반,0
2025-08,충청북도,1.0,31440,0.0318066157760814,116.45,78.49616926828206,32.73657289002558,-0.3365190469780589,40.92071611253197,63.171355498721226,0.0,0.0,1,35.66496163682865,4등급·일반,0
2025-08,충청남도,1.0,42097,0.0237546618523885,116.45,78.49616926828206,25.831202046035806,0.0,59.46291560102301,63.171355498721226,0.0,0.0,1,35.575447570332486,4등급·일반,0
2024-10,광주광역시,1.0,22065,0.0453206435531384,114.69,61.13916856106862,40.92071611253197,-0.8912139671052927,10.485933503836318,28.388746803069054,2.0,66.66666666666666,0,35.52855924978687,4등급·일반,0
2024-05,광주광역시,1.0,22065,0.0453206435531384,114.1,62.72419013774592,40.92071611253197,0.0,59.46291560102301,6.649616368286446,0.0,0.0,0,35.39641943734016,4등급·일반,0
2025-07,경상남도,2.0,67454,0.0296498354434132,116.52,77.75407159005208,31.32992327365729,-0.38391783544053126,38.87468030690537,67.51918158567774,0.0,0.0,1,35.13427109974425,4등급·일반,0
2024-09,경상남도,3.0,67454,0.0444747531651199,114.65,74.58121856449478,39.64194373401534,-0.2662474157360208,46.03580562659847,24.04092071611253,0.0,0.0,1,34.61636828644502,4등급·일반,0
2025-12,충청북도,1.0,31440,0.0318066157760814,117.57,41.42148908059404,32.73657289002558,-0.7672694650361207,19.18158567774936,84.91048593350384,0.0,0.0,0,34.57800511508952,4등급·일반,0
2026-01,전라남도,1.0,37127,0.0269345759151022,118.03,37.281032920297086,29.795396419437342,-0.7085259047698672,23.017902813299234,89.25831202046037,0.0,0.0,0,34.37979539641944,4등급·일반,0
2024-07,제주특별자치도,1.0,24251,0.0412354129726609,114.13,77.3364558671032,37.59590792838875,0.0,59.46291560102301,10.997442455242968,0.0,0.0,1,34.21994884910486,4등급·일반,0
2025-07,충청남도,1.0,42097,0.0237546618523885,116.52,77.75407159005208,25.831202046035806,-0.19000894942151914,49.36061381074169,67.51918158567774,0.0,0.0,1,34.20716112531969,4등급·일반,0
2024-10,전북특별자치도,1.0,31373,0.0318745418034615,114.69,61.13916856106862,34.52685421994885,-1.657067422128455e-15,54.21994884910486,28.388746803069054,0.0,0.0,0,34.092071611253196,4등급·일반,0
2024-12,강원특별자치도,1.0,43926,0.022765560260438,114.91,40.892561338146805,23.785166240409207,0.8628946664480666,78.51662404092072,32.73657289002558,0.0,0.0,0,33.69565217391305,4등급·일반,0
2025-10,강원특별자치도,1.0,43926,0.022765560260438,117.42,62.1988525681886,23.785166240409207,-0.6757883070601859,25.44757033248082,80.56265984654732,1.0,33.33333333333333,1,33.58908780903666,4등급·일반,0
2025-12,인천광역시,1.0,41726,0.0239658725974212,117.57,41.42148908059404,27.74936061381074,-0.65296634448219,26.598465473145783,84.91048593350384,0.0,0.0,0,33.31841432225064,4등급·일반,0
2025-11,강원특별자치도,1.0,43926,0.022765560260438,117.2,49.88159018896363,23.785166240409207,-0.6757883070601859,25.44757033248082,76.21483375959079,1.0,33.33333333333333,0,32.936913895993186,4등급·일반,0
2024-05,부산광역시,2.0,55922,0.0357640999964235,114.1,62.72419013774592,35.54987212276215,0.0,59.46291560102301,6.649616368286446,0.0,0.0,0,32.44245524296676,4등급·일반,0
